;;0;;;;;0;0;0;0;0;0;0;0;0
Alberto;fdas@gmail.com;939204824;albufeira;albufeira;faro;password;0;1;1;0;0;0;0;0;0;0
Barbara;ffafaf@gmail.com;966822231;famalicao;famalicao;braga;password;0;0;0;0;0;0;1;1;1
Bruno;gfdgf@gmail.com;913424944;aveiro;aveiro;aveiro;password;0;0;0;0;0;0;0;0;1
Carla;afs@gmail.com;913487432;boialvo;anadia;aveiro;password;0;0;0;0;0;0;0;1;1
Joana;mdanfa@gmail.com;914234298;maia;maia;porto;password;0;0;0;0;0;0;1;0;0
Joao;a@gmail.com;919999911;sintra;sintra;lisboa;password;0;0;0;0;0;0;1;1;0
John;daaa@gmail.com;916578980;braganca;braganca;braganca;password;0;0;0;0;0;0;1;0;0
Liliana;muaha@gmail.com;962248942;amadora;amadora;lisboa;password;0;0;0;0;0;0;1;0;0
Max;j@gmail.com;999999999;Ramalde;Porto;porto;password;0;0;0;0;0;0;0;0;0
Patricia;mffk@gmail.com;933498424;fafe;fafe;braga;password;0;0;0;0;0;0;0;0;1
Sandra;majifafa@gmail.com;963122424;bairro;bairro;aveiro;password;0;0;0;0;0;0;0;0;0
Teresa;mfjiff@gmail.com;939748247;rebordosa;paredes;porto;password;0;0;0;0;0;0;0;1;0
Pedro;aaasd@gmail.com;966822231;porto;porto;porto;password;0;0;1;23;12;2015;0;0;0
Vitor;c@hotmail.com;919994567;ebora;evora;evora;password;0;2;3;4;1;20;12;2015;1;0;0
Jose;jose@gmail.com;966870031;porto;porto;porto;password;0;0;3;23;12;2015;1;0;1
Mario;b@gmail.com;919992345;loures;loures;lisboa;password;0;2;2;5;3;23;12;2015;1;0;0
