mffk@gmail.com;moto;moto;moto 1000cc;7;0;23;12;2015;0;0;0;1000;0;2;25000;1;novo
jose@gmail.com;casa;Imovel;casa de pedra;13;0;23;12;2015;0;0;0;1000;0;4;200000;1;novo
mffk@gmail.com;carro;carro;carro descapotavel;6;0;20;12;2015;0;0;0;1000;0;9;20000;1;novo
b@gmail.com;computador;computador;computador gaming;4;0;19;12;2015;0;0;0;1000;0;14;1000;1;novo
fdas@gmail.com;computador;gaming;computador com pentium celeron;5;0;23;12;2015;0;0;0;200;0;4;1200;1;funcional
muaha@gmail.com;maquina cafe;Eletrodomestico;maquina cafe capsulas;12;0;23;12;2015;0;0;0;12;0;0;100;1;novo
mffk@gmail.com;batedeira;Eletrodomestico;batedeira com 3 modos;10;0;23;12;2015;0;0;0;10;1;0;20;1;novo
aaasd@gmail.com;maquina cafe;Eletrodomestico;maquina cafe de grao;9;0;23;12;2015;0;0;0;0;1;9;40;1;novo
majifafa@gmail.com;radio;Eletronica;radio com despertador;11;1;img1;23;12;2015;0;0;0;0;0;0;50;1;novo
c@hotmail.com;bicicleta;bicicleta;bicicleta btt;7;0;23;12;2015;0;0;0;0;0;6;500;1;novo
aaasd@gmail.com;maquina cafe;Eletrodomestico;maquina cafe de capsulas;8;0;23;12;2015;0;0;0;0;0;10;50;1;usado como novo
jose@gmail.com;Rato;Eletronica;Rato da microsoft;2;0;23;12;2015;0;0;0;0;0;16;20;1;novo
j@gmail.com;Playstation 3;Gaming;Playstation 3 preta com 1 comando;1;1;ps3,png;23;12;2015;0;0;0;0;0;12;200;1;usado como novo
